,step,TRANSFER,PAYMENT,DEBIT,CASH_OUT,CASH_IN,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isMerchantOrig,isMerchantDest
2,1,1,0,0,0,0,181.0,181.0,0.0,0.0,0.0,1,0,0
3,1,0,0,0,1,0,181.0,181.0,0.0,21182.0,0.0,1,0,0
251,1,1,0,0,0,0,2806.0,2806.0,0.0,0.0,0.0,1,0,0
252,1,0,0,0,1,0,2806.0,2806.0,0.0,26202.0,0.0,1,0,0
680,1,1,0,0,0,0,20128.0,20128.0,0.0,0.0,0.0,1,0,0
681,1,0,0,0,1,0,20128.0,20128.0,0.0,6268.0,12145.85,1,0,0
724,1,0,0,0,1,0,416001.33,0.0,0.0,102.0,9291619.62,1,0,0
969,1,1,0,0,0,0,1277212.77,1277212.77,0.0,0.0,0.0,1,0,0
970,1,0,0,0,1,0,1277212.77,1277212.77,0.0,0.0,2444985.19,1,0,0
1115,1,1,0,0,0,0,35063.63,35063.63,0.0,0.0,0.0,1,0,0
1116,1,0,0,0,1,0,35063.63,35063.63,0.0,31140.0,7550.03,1,0,0
1869,1,1,0,0,0,0,25071.46,25071.46,0.0,0.0,0.0,1,0,0
1870,1,0,0,0,1,0,25071.46,25071.46,0.0,9083.76,34155.22,1,0,0
1911,1,0,0,0,1,0,132842.64,4499.08,0.0,0.0,132842.64,1,0,0
2301,1,1,0,0,0,0,235238.66,235238.66,0.0,0.0,0.0,1,0,0
2302,1,0,0,0,1,0,235238.66,235238.66,0.0,0.0,235238.66,1,0,0
3059,2,1,0,0,0,0,1096187.24,1096187.24,0.0,0.0,0.0,1,0,0
3060,2,0,0,0,1,0,1096187.24,1096187.24,0.0,0.0,1096187.24,1,0,0
3162,2,1,0,0,0,0,963532.14,963532.14,0.0,0.0,0.0,1,0,0
3163,2,0,0,0,1,0,963532.14,963532.14,0.0,132382.57,1095914.71,1,0,0
3271,2,1,0,0,0,0,14949.84,14949.84,0.0,0.0,0.0,1,0,0
3272,2,0,0,0,1,0,14949.84,14949.84,0.0,18161.79,33111.63,1,0,0
3683,2,1,0,0,0,0,18627.02,18627.02,0.0,0.0,0.0,1,0,0
3684,2,0,0,0,1,0,18627.02,18627.02,0.0,147251.58,165878.6,1,0,0
4103,3,1,0,0,0,0,10539.37,10539.37,0.0,0.0,0.0,1,0,0
4104,3,0,0,0,1,0,10539.37,10539.37,0.0,0.0,10539.37,1,0,0
4260,3,1,0,0,0,0,22877.0,22877.0,0.0,0.0,0.0,1,0,0
4261,3,0,0,0,1,0,22877.0,22877.0,0.0,0.0,22877.0,1,0,0
4440,4,1,0,0,0,0,10000000.0,12930418.44,2930418.44,0.0,0.0,1,0,0
4441,4,0,0,0,1,0,10000000.0,10000000.0,0.0,0.0,9941904.21,1,0,0
4442,4,1,0,0,0,0,2930418.44,2930418.44,0.0,0.0,0.0,1,0,0
4443,4,0,0,0,1,0,2930418.44,2930418.44,0.0,3616012.1,6963508.84,1,0,0
4667,4,1,0,0,0,0,169941.73,169941.73,0.0,0.0,0.0,1,0,0
4668,4,0,0,0,1,0,169941.73,169941.73,0.0,0.0,169941.73,1,0,0
4693,4,1,0,0,0,0,13707.11,13707.11,0.0,0.0,0.0,1,0,0
4694,4,0,0,0,1,0,13707.11,13707.11,0.0,0.0,13707.11,1,0,0
4775,4,1,0,0,0,0,86070.17,86070.17,0.0,0.0,0.0,1,0,0
4776,4,0,0,0,1,0,86070.17,86070.17,0.0,0.0,86070.17,1,0,0
4857,5,1,0,0,0,0,120074.73,120074.73,0.0,0.0,0.0,1,0,0
4858,5,0,0,0,1,0,120074.73,120074.73,0.0,0.0,120074.73,1,0,0
5123,5,1,0,0,0,0,60726.57,60726.57,0.0,0.0,0.0,1,0,0
5124,5,0,0,0,1,0,60726.57,60726.57,0.0,13010502.78,13071229.35,1,0,0
5466,5,1,0,0,0,0,10119.47,10119.47,0.0,0.0,0.0,1,0,0
5467,5,0,0,0,1,0,10119.47,10119.47,0.0,0.0,10119.47,1,0,0
5558,6,1,0,0,0,0,33332.86,33332.86,0.0,0.0,0.0,1,0,0
5559,6,0,0,0,1,0,33332.86,33332.86,0.0,31002.0,0.0,1,0,0
5746,6,1,0,0,0,0,25975.86,25975.86,0.0,0.0,0.0,1,0,0
5747,6,0,0,0,1,0,25975.86,25975.86,0.0,98152.0,28041.27,1,0,0
5852,6,1,0,0,0,0,26768.5,26768.5,0.0,0.0,0.0,1,0,0
5853,6,0,0,0,1,0,26768.5,26768.5,0.0,101976.0,128744.5,1,0,0
5994,6,1,0,0,0,0,30521.02,30521.02,0.0,0.0,0.0,1,0,0
5995,6,0,0,0,1,0,30521.02,30521.02,0.0,0.0,30521.02,1,0,0
