,credit_usage,b'no checking',b'yes',b'no',b'unskilled resident',b'unemp/unskilled non res',b'skilled',b'high qualif/self emp/mgmt',b'rent',b'own',b'for free',b'real estate',b'no known property',b'life insurance',b'car',b'none',b'guarantor',b'co applicant',b'male single',b'male mar/wid',b'male div/sep',b'female div/dep/mar',b'unemployed',b'>=7',b'<1',b'4<=X<7',b'1<=X<4',b'no known savings',b'>=1000',b'<100',b'500<=X<1000',b'100<=X<500',b'used car',b'retraining',b'repairs',b'radio/tv',b'other',b'new car',b'furniture/equipment',b'education',b'domestic appliance',b'business',b'no credits/all paid',b'existing paid',b'delayed previously',b'critical/other existing credit',b'all paid',b'>=200',b'<0',b'0<=X<200',current_balance,location,residence_since,cc_age,other_payment_plans,existing_credits,num_dependents,own_telephone,class
0,6.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1169.0,4.0,4.0,67.0,2,2.0,1.0,1,0
1,48.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5951.0,2.0,2.0,22.0,2,1.0,1.0,0,1
2,12.0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2096.0,2.0,3.0,49.0,2,1.0,2.0,0,0
3,42.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7882.0,2.0,4.0,45.0,2,1.0,2.0,0,0
4,24.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4870.0,3.0,4.0,53.0,2,2.0,2.0,0,1
5,36.0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9055.0,2.0,4.0,35.0,2,1.0,2.0,1,0
6,24.0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2835.0,3.0,4.0,53.0,2,1.0,1.0,0,0
7,36.0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6948.0,2.0,2.0,35.0,2,1.0,1.0,1,0
8,12.0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3059.0,2.0,4.0,61.0,2,1.0,1.0,0,0
9,30.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5234.0,4.0,2.0,28.0,2,2.0,1.0,0,1
10,12.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1295.0,3.0,1.0,25.0,2,1.0,1.0,0,1
11,48.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4308.0,3.0,4.0,24.0,2,1.0,1.0,0,1
12,12.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1567.0,1.0,1.0,22.0,2,1.0,1.0,1,0
13,24.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1199.0,4.0,4.0,60.0,2,2.0,1.0,0,1
14,15.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1403.0,2.0,4.0,28.0,2,1.0,1.0,0,0
